text,sentiment
Thanks for pointing out the crucial problems @thakkar. Both of them have been taken care of  (cc: @Netra),1
please ignore cheesey music,-1
just got home from a meeting with the girls... Maaaaaan I'm exhausted!! Goodnight world,0
victory for the bulldogs was celebrated by 3 white chocolate cheesecakes  nom nom nom WHATTA FATTYYY,-1
http://tinyurl.com/ateltl &lt;-- Rocksteady pt II,0
"ok outta all 981 of my followers, only about 10 of u ive talked to lol dont be shy i dont biteeee",0
@souljaboytellem holllaaa.. i dont know what ur up doing but im trying to finish up some work for school... bout to go to bed though,0
And I just love every little thing about you...,1
"@_everaldo on my MacBook I run Linux with Parallels and on my iMac I use VMware Fusion and both are great, especially in &quot;Unity&quot;-mode.",1
I have the Job  this is a nice day it can not be better,1
I'll go now.I'll watch teen nick!,0
needs a break from the computer... adios  &lt;3,0
"Tweet whore ? I am up to 10,000 tweets",1
@paulcarr I just laughed out loud on the bus reading your statement of ethics. People moved away. He he he.,0
character designs complete! .... in about a week we'll give another sneak peak... stay posted!,0
@lmchugh fingers crossed for you.,0
@Tony_Mandarich well welcome back from the dark side!,1
"@sai_shediddy lol , you gotta share too",0
"first up, make up for lost time with jelly. Jalan jalan just the 2 of us  and the rollerblading with my pumpkin. Happeh",0
@CPaladino My cats enjoy the sunbeams from the open windows.  I think that counts.,1
not goin tto tafe,0
"@urbanpinkpixie Susan Egan, I love her! And yeah, it said I would have a pleasant trip.",1
@MrWize sike sike call it truce???????????????? u still a bitch and my ppl still gonna air u out tho,-1
"Waiting for an email that will probably never arrive. ED later, Consti study after then hopeless bumming.",-1
Just getting an additional free day,0
"Monday is here, One more day",0
"is happy  and clean, squeaky clean",1
"@Tottie Thank you, thank you!! Thought this is where all the cool kids hang out now, hehe  xoxo!",1
@chaoscartel That is annoying. What gear is it? I'll take it off your hands,-1
I need to get some shut eye... But I just can't let's try 1 more time. Ta Ta Twitterworld,0
@RealBillBailey morning Bill,0
I just want this semester to be over! Only a week and a half then it's moving time!,-1
Cleaning my room and listening to britney.,0
"@aruky Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day &quot;colorblind&quot;.",1
@deuhlig thanks for sharing,1
Having a great chat with a friend. He's totally putting my mind at ease,1
@lexiphanic  cheap and good system  http://bit.ly/Fgl2Y,1
goodnight twitterville! really enjoyed pearl harbor. now off to sleep and cuddle with my hot man!  i will have good dreams tonight! XOXO,0
@khodgkin1 Oh! Good idea about putting them on ice cream,1
"@yourshyness21 lol I hear you, I think I watched about 2 - 3 different movies, when I should have been getting work done.  I'll ttyl girl",0
@DavidArchie so what cereal do you usually like?,0
@girlfromthemoon ...i had a yay moment today  YAY hope you did too!,1
endless streams of tea~~~~... it's a holiday day here... how do I know? it's raining,0
@DonnieWahlberg sounds like you all had a great night . i'm glad it was successful,1
Thank god camera fixed itself. I want a new ipod,1
"Woop, have just bought the Elliot Minor album on itunes. Its finally working for me!!",1
@FoluB pebbles thrown at windows should get *someones* attention,0
"@nicolesssss  no, dayuuum 5o'clock was better",0
@JRHIGHTOWER  you told me u would be there...lol! Hmmmm where were u.....,0
watching the office......... also comedy gold,0
@shaundiviney u no there was no point pointing it out yesterday and ppl had 2 wait til midnight .... they were kinda pissed,-1
Grand Indonesia with mom n sisters...,0
@alibalijeweller I'm come and try to find you and be your fan too,1
@DavidArchie I'm watching some of your videos in YouTube. You're funny David.  Oh and TALENTED of course!,1
"@LeilaniLi thks 4 the follow, and @newest tweets, i returned the love",1
http://twitpic.com/4j8us - It is interesting that VS2003 generates a setup script for uninstall.,1
@RealBillBailey Morning! Are u back in blighty Bill? Hope u had a lovely time away,1
@DavidArchie want to hear something funny? I'm yours is on the radio right now!,1
"@MrPhotographic Happy b-day! Just woke up on this side of Earth, so wishes are bit late",1
Hank Thompson ï¿½ The Big One Got Away -- hmm... how old do you have to be to remember THIS?  ? http://blip.fm/~5jboh,0
@VIbeauty we will work on that mama  sweetdreams!,1
@eishbo0 you can do it,1
nothings better then going out for chinese at the supperinn with ma fave cousins at 1am,1
I am up and feeling pretty damn gud! I dont even have a hangover what a nice feeling,1
I just dyededed my hair,0
Drinkin' Chai tea and not sleeping.. and checkin' out some cool peeps,0
@amyyyxoxo ahh I gtg but pls help me with number 3 I'll come back later to see what u said  haha plz and thank u,1
@zhayrar lol well thank you,1
Can't wait for SYTYCD tour with Ashleighhh &amp; Izzayyy,0
C-News wasn't as bad as I expected... could have done better... but today we did a great show...,1
@KatiexCobraYo awww boo! I fucking lovee doing all the girly thingss,1
"thankyou short stack for bringing out a second sydney show,, now im going to both  im so thankful for you guys being so good 2 ur fans",1
finally gone!!!,1
@ifixitlive Hey never realized that you also get a Twitter account.  Your guides are truly many times a lifesaver to me.,1
good job!,1
@iMBA Ur welcome,1
@cathyah I love it...that's going to be one of my new fave quotes.,1
I love the sunshine and the happiness it brings,1
@bebeisis  thanks bebeisis that is right is your name by any chanve elisabeth???,1
"@heyrbk ohh shardup! hehe. hes hot lah, gotta admeeet! bleh.",0
cleaning cleaning cleaning today then working out!  i love not working!,0
Chem wasn't better than physics. And now I'm so tired. @natasya_astri HAHAHA NTN BBF JUGA YA? Hihi gue sukanya Jun Pyo?,-1
@living_autism BUT on the bright side you're on twitter! Morning!,0
@Petty01 Happy Birthday and cheers to PAO!!,1
@justinchuan Awww!  I was thinking about you lot up there!  Glad you enjoyed it.,1
Download movie  &quot;81st Annual Academy Awards Pre-Show&quot; http://tinyurl.com/cdue53 cool #movie,1
@cel_xox ur really smart,1
@geoffsays Thanks for the link Geoff,1
"aaahhh, showers are great",1
i won because im awesome,1
I was crying all of Tuesday cos I find out! ;( .... Economics is offically my crying subject lol,-1
finally having my cup of coffee!!!,0
"Just hangin out at home, watchin twiligghhttt ( and readin it (AGAIN!!) lol School sukked today Bahaha",-1
"Paving your own road is intelligent only if nobody has gone exactly where you are going, come follow me",0
@brittannyy14 yea i know right! i love that song!,1
@Tittch Just file me under *seduced* sweetie...,0
For @mizhalle  ? http://blip.fm/~5jbp3,0
"@Jocey17 ITS A BANK HOLIDAY STUPID!! wait, they don't have bank holidays in America... Okay keep on celebreting",1
@carmenforward no way - those are great words.  Boys don't get to own them.    Oh and was it your bday?,0
"Hi all, just recovering from a party, looking forward to an exciting bank holiday around the diy shops...life cant get much better.surely",1
@AngelicaV1 Your birthday? WELL Happy birthday,1
"says i got 2 cards today, from eva n clara. thanks, guys.  http://plurk.com/p/roo6c",1
im back. wooooo!!!  i want to have my own press release :|,1
@IMBASE k its 3 slices left,0
@akarshsimha: Started using the branch,0
anyone got an FFE account? if so.. add me,0
@lilmarshmellow 1 pm...,0
Another one popped up a human being. Congrats Nana and Wan.  Baby Iris is a cutie.,1
@thatglamchick ok.... tx  it's so worth the wait! lol...***,1
"today is maintenance day for me, my flat and my blog...yeahhhh a lot of little works",0
@mskiannathediva  He's awesome... Have you worked with him before? He's a good friend.,1
"Time to watch OP, then some Dead Like Me, then sleep.",0
stopped working on the @MarsPhoenix image database awhile ago to help Greg with his term paper. Now chit chatting with Greg.,0
"Well Done , Visteon Belfast, 2 years salary paid. Just shows what happens when you stand up for yourself",1
its my bday!!! I'm gettin older!,0
@DavidArchie I tweet sooo much about you. Gahd.  Hahaha!,0
"@Lodewijkvdb Don't worry, you'll get your stamina back soon  What kind of distances do you run usually?",1
"@williamduncan the archetype thing was for a comm. class that studied archetypes in popular media. reading your links now, thanks",0
@amytcathy at least you get to watch Lost on the way,0
"@algibbs thanks for that, now i learned something new today  enjoy.",1
@urbansmiler Is it possible to a have phobia of phobias? Afraid to look at list.,-1
"I WANNA GO THERE, WHERE YOU GO. I WANNA FIND OUT WHAT YOU KNOW..     DAVID AND MILEYYYYYY! ??",0
heading out to (a long)band practice. last one before our first show on Saturday night. Hope it's a good one  http://digg.com/u12MIW,1
@leeprovoost Is it that quiet at the office?,0
"http://twitpic.com/4j8yk - Thelma, Rebeca, Fernanda Symonds, Fernanda Cordova",0
@misspretty1981 thank u!!! u kno ppl already look @ my chest ne ways might as well give them somethng to throw them off! LOL!,1
@SashaKane I am absolutely craving a brownie with ice cream right now. FedEx some over!,0
I got whooped by Jason Bradbury. Ace :0,0
The dj's and partypeople were great again at CC. Kicking  Next one June 7,1
"@allankent @andywalton oo, oo, I must compete... let me login to my work email to see if I can top that",0
@TessMorris fine! Going to do my big walk today 20 or so miles,1
"@SIFashions Wow, that's really sweet! I'm assuming this is blog-related.  Thanks so much.",1
"@DavidArchie OK David, talk later  Have a great dayyyy ay ay ay ay",1
"@amystow I know, but work is so boring. I prefer the @2oceansvibe take on life",-1
@RaspberryHatter  aw. that sounds amazing  But I think I have work. Thank you for inviting me though,1
@jezkemp yay!  excited?,1
"in school, wants to read Eclipse, 200-and-some-60 pages read",0
"@DavidArchie if there is a tesco nearby, then go there",0
@hrcolors Maybe it had a hot date with a nice little Cesna.,1
@joycescapade COOOOOOOOOL... DOOOOOOOOOWN... Patience... Is... Virtue...,1
"@kyspeaks  Yah, they have footlong sausage too mah. But Halal place..piggy sausages are bigger",0
"Stoppped following ama, i really need a clean break... on another note, kate is being super nice right now  Off to work",1
Waiting on laundry to finish so I can go HOME. Think I'll do my nails while I wait,0
@RaeRae440 It's surprising how much Billy Idol turns up in tweets. I monitor constantly - not that I'm obsessed or anything!  #BillyIdol,0
@galacticfaerie Sounds great. I'm looking forward to it then,1
@moonfrye LOL and that's why I use my iPod touch,0
hehe tweet time... bastos talaga chux,0
...love and wanted to share with my followers. feeling inspirational. ive had a long day.,1
@LarryBenet Per Taylor Dayne conversation.  It's official I am now jealous of you.,0
I've worked my finger tips bare today coding. But we got there.,0
wake up...and go make breakfast..,0
@LadyRubaiyat It will warm up once you start digging,0
@velvetella Bye ! Have a great time being whisked away,1
"@BoomKatt yes yes I AM, networking whore to the fullest.......and this girl is rih next to me",0
can't sleep so i'm watching some more Gilmore Girls,0
feels like spammers season .....is called summer season,0
"ohh. i didnt double tweet a while ago, did i? now i did.",0
"@alicedric can't wait for it. i love your scripts. honestly, you should have a future career as a script writer  - Stock Twits",1
"@DavidArchie if you don't mind, change your profile pic with a picture of you in UK. It'll be fun",1
"@MrMaxROI Hey, it's good to see you here! Will now follow you. Would be nice to have a photo!",1
"just woke up, no school today, we are free",1
im still waitin for my girl to come home...i wanna go shopping,0
Last song .. then I really have to go  ? http://blip.fm/~5jbvo,0
Got my braces tightened today. Then I got McDonalds! HAHA  Sport tomorrow yay yay yay! Netball tryouts.. wish me luck to make the team! :l,1
"Have lots 2do as usual! laundry, thanking God, cleaning house, praising God, cutting the hedge and thanking and praising God some more!",1
@Rosiecosy Thanks for sympathy. It wasn't too bad until about an hour ago when I started thinking of the appointment tomorrow.,1
tafe was actually quite good. for once,1
"@neo_kryptik the usual... applications, checking statuses, reading stuff that's ... wel... not arbit  etc",0
"True to form, Bank Holiday Monday looks like it might be rainy. Hope it holds off til later, family&amp;friends plan walk and picnic today",1
"@tracymacy Thanks for follow. Was just adding you from your twitter page, after commenting your blog",1
@Kayleigh_Stack i wish i could go to both but i don't think i'll be allowed :p either way with two shows going your bound to get a ticket,0
"@gawd0r Yeah, my dad calls me Taltal, but it was taken on AOL back in 96, so I added a K for my last name, coincidence is Tal Talk.",0
@MODELCHiCK2 thank u soooooo much lil mama xoxo,1
@MFlanders no I like be able to say it and it be the truth. Instead of some magical mystery tour I get led on.,1
"@sterestherster Adem in, adem uit",0
@ODWGOOG Absolutely ...,0
@DavidArchie Yeahhh you do that lol,0
&lt;3 KoRn... You guys are champions of the world,1
@oliviamunn How long before the Frisbee Golfer &quot;accidentally&quot; catches one in the back of the head from his friend,-1
@Lilctownroaster I just added a butt to your name in my phone after I made you go home in the cold. Because I love you!,1
"@ravenousraven check out her new song &quot;sentimental, wat-a-joke-ental&quot; she's a fren  www.last.fm/music/marple+meg",0
@carlosefonseca I can give you the contact of the person who makes those cheesecakes!,0
Not really  but its work so yea kinda,0
"@oliyoung it's stable, faster than 2.x and working.",0
"@RealBillBailey haven't read that book, but heard of it. Feed, spay, love is a great motto for pet owners  although there is more involved",1
Photo: Great night.  http://tumblr.com/xmo1pgymj,1
"would like june the nineteenth to hurry it self up, as she is waiting very impatiently to see wes carr",-1
"Listening to the commentary track on Holiday Inn. Never thought I'd see Bing Crosby in black face, but the rest of the movie was cute",1
@robinmeure &gt; &quot;live Q&amp;A 24/7&quot;... definitely the best part of twitter for me,1
@TerriCook  oh hi terri good now what about you? any good gossip,1
is debating giving twitter a proper go. now to try and understand it,0
@amber_benson  Woohoo! Well Done! I started Macarena-ing too,1
@jkreeftmeijer Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,0
"Once again another late night.  But I scored a mojito, so ...",0
Bank holiday mondaaaaaay   Exams tomorrow  D:,-1
@mybellavita just clicked on your bio. You're in Cantazaro!? Have been to Italy several times. But never Calabria!,0
@vene2ia Thanks!  I am doing good... Did you read any of my blog posts?,1
@AndyP007 Any tips for someone who has only made it 52 on Flight Control?,0
"@lilazngurl1234 hi there, nice to meet you.  I am new to twitter and I guess you are too?",1
alrightttt twitter. i have netball nowww  this is my 600th twitter haha  byeeeee,0
@creampuffs_star v. good. i thought you were registered na?,1
@druey Merlin wasn't too bad. Already watched it on BT of course,0
@Gennargh I also have a brain tumor called Jeffery.,-1
Writing my first tweet,0
is excited. Lots of good things happening work-wise here in Melbourne,1
recovering from mexican fiesta. Had a bit too much of a good time!,1
@geewhy  You're just jealous!  Guess you'll be walking around the office tomorrow in your Malo!,-1
New baby arrived yesterday. A fab baby boy at 2.8 kilo  Very proud and happy,1
@joeymcintyre You bet!...I'll be there in spirit (I'm in the UK really LOL) Like the pic BTW xx  x,1
@Victoria808 Wanted to get that piercing too but thought it would be distracting to others when I was giving presentations. U think?,0
"@Mattro heh, i meant differences between b3 and b4",0
which is why i can't wait till i move out of home and life by myself next year  WACKY ADVENTURES EVERY DAY!!!!!,0
@rosiecd is it for dinner? the amount for dinner ones is greater than say an afternoon snack. a pack for the day is prob ok.,1
"I'm off! Well, home... I will see you soon!",0
@Elmo824 tegan and sara fan? follow them @theteganandsara,0
I'm glad that I called him cause our relationship is clear now. Just happy to hear his voices eventhough he's absent from school,1
"@miasmom1 Awhhh age doesn't matter, you awesome lady you!",1
@ainzneal LOL  I'm the night owl queen - why you up?,0
"todays line up: more work on OS bluetooth app, a brief stint with Uniservity and if I get time some CS4 tutorials... busy bank holiday",0
i really needa find more stastics,0
Waking up with Star Wars End Title Song in my had is sorta awesome .. and also kinda creepy,0
"@GlitzyGloss Hello!! sounds very good, you can count on me, I follow you!!!",1
"waiting for my friend to come over, so we can hang out!",0
"@daisytalk yeah, I had a suspicion about that!! I think I'm going to come home and want to spend a ton of money on tools!",-1
British Expat Tweet Tommy and the Giant Sprout: Especially for Fly  as part of sprout seaso.. http://tinyurl.com/c7kvb6,0
"i get so sucked in to true life, and that steve-o documentary was intense, i love that shit, it's nice to see people get their lives back",0
"time to relieve stress at the gym!! Someone should write speeches, take exams and do research for me",0
#musicmonday Nicest Thing from Kate Nash,1
still awake..doing my assignments and playing virtual farming,0
upgraded,0
"@awaisnaseer always write holy words in capital dude, ALLAH HAFIZ !",0
the rain bring back some memories,0
@jordinsilver So long as they hold your wine without tipping.,0
@vene2ia Great!,1
"@paul_augustine Yes, it is. Though not in coffee   So what's your favorite brand?",0
"@DavidArchie Good luck with your breakfast search. But here in the US, I have to go to bed. lol. Goodnight David.",1
