text,date
"""we're setting up mobile vaccination opportunities for tourists in some of the best trafficked parts o…",2021-05-31 05:24:42
and  could do same to rapidly kickstart vaccine tourism to usa ? us airlines to book flights ?…,2021-05-30 17:55:18
vaccine tourists are coming to america - cnn,2021-05-30 05:15:02
‘like a dream’: latin americans head to u.s. for covid shots  taxpayers are paying for usa p…,2021-05-30 04:35:13
"people from middle and high-income classes are travelling to usa to get their covid vaccine, since less privileged…",2021-05-29 19:04:28
"hey motherfucker, the rest of the world will remember forever de vaccine tourism that usa is doing...... the…",2021-05-29 14:06:02
"joe sir,tourism will take lot of time to recover to become normal but education; research; export +vaccine a…",2021-05-29 12:07:34
how long until we hear the gqp - who are refusing shots anyway - complain that vaccines should only be given to leg…,2021-05-29 02:38:39
"cnn : vaccine tourists are coming to america.


via",2021-05-28 21:29:39
"... meanwhile, from the land of better science classes.",2021-05-28 09:51:21
"we have family in colombia and apparently, there is such a thing as vaccine tourism to the usa.",2021-05-28 07:24:47
"vaccines work, vaccinated people should cross and canadians should be able to get a vaccine in the usa.…",2021-05-27 22:40:50
"re my last 2 rts: 

it seems like common sense at this point. if what's left in the us are people who are anti-vax,…",2021-05-27 22:00:20
"i guess this is a thing, huh? as with some of the responses i've seen to the outbreak in taiwan, there will be thos…",2021-05-27 15:22:03
open the borders to allow canadians to get vaccinated,2021-05-27 11:40:38
vaccina nationalism effects.,2021-05-27 09:42:13
"""we have arrived in the us not for the american dream, we are here for the vaccine dream,"" 49-year-old elver estela…",2021-05-27 08:26:40
vaccine tourists are coming to america and travelers were not asked for proof of residency in the us at vaccination…,2021-05-27 07:01:00
love to see your input about this:,2021-05-27 06:44:20
vaccine tourism is the latest trend in usa,2021-05-27 05:42:02
vaccine tourists are coming to america,2021-05-27 05:36:56
"vaccine tourists are coming to america
     …",2021-05-27 04:51:44
interesting.,2021-05-27 04:38:48
"meanwhile, immigrant taxpayers with regular work visas from eu are not allowed to come back to the united states. s…",2021-05-27 04:13:21
good! ✨,2021-05-27 01:53:59
meanwhile: vaccine tourists are coming to america,2021-05-27 01:32:19
"cnn: vaccine tourists are coming to america
5/23/18 london by claudia rebaza, cnn london 
updated 4:51 pm et, wed m…",2021-05-26 23:19:17
a year ago americans were banned from entering multiple countries now people are coming here to get a vaccine shot!…,2021-05-26 23:07:38
called it:,2021-05-26 23:02:51
i guess people are flying to the u.s. to get vaccinated.😱,2021-05-26 22:45:43
"this new vaccination campaign to get hardcore republicans to finally get their shot is brilliant.

“get your vaccin…",2021-05-26 22:44:56
"with a population of nearly 700 million people only 37 million have been fully vaccinated, paho officials said toda…",2021-05-26 21:57:14
vaccine tourists are coming to america.,2021-05-26 21:46:29
what do you think about this?,2021-05-26 21:13:45
vaccine tourists are coming to america news,2021-05-26 21:00:18
how are they getting in if the border is still closed??,2021-05-26 20:47:15
"vaccine tourists are coming to america: for those who can afford it, the cost of an international flight and accomm…",2021-05-26 19:44:18
"travel demand from latin american countries to the us has increased in 2021, fueled by growing interest in ""vaccine…",2021-05-26 19:31:05
vaccine tourists are coming to america      …,2021-05-26 19:13:37
"vaccine tourists are coming to america ""we have arrived in the us not for the am",2021-05-26 18:20:26
can’t get a vaccine in asia? tourism firms are running ‘vac-cations’ to the us or russia – but the costs are high…,2021-05-26 08:00:45
"all the lunacy about covid passports makes me wonder...
if canada has vaccine passports but the usa doesn't how tha…",2021-05-25 22:33:18
latest research from  suggests that people are travelling to the  to receive a  against…,2021-05-25 09:00:03
in scotland anyone over the age of 18 can register for a vaccine. w…,2021-05-24 10:56:16
