text,date
"vaccine tourism in the us is becoming more prevalent with houston, dallas, miami, and las vegas being the most visi…",2021-05-31 06:06:55
the tourism authority of kiribati (tak) welcomes the commencement of the kiribati covid-19 vaccination program now…,2021-05-31 05:09:50
‘like a dream’: latin americans head to u.s. for covid shots,2021-05-31 04:28:08
nytimes: ‘like a dream’:  americans head to u.s. for  shots ‘like a dream’: latin americans head to u.s…,2021-05-31 04:13:04
vaccine tourism packages let rich asians flock to us for covid jabs - traveller,2021-05-31 04:02:33
"‘like a dream’: latin americans head to u.s. for covid shots

frustrated with the lagging pace of vaccinations at h…",2021-05-31 03:14:31
"el sueño americano 

‘like a dream’: latin americans head to u.s. for covid shots - the new york times",2021-05-31 02:52:20
"the new york times: ‘like a dream’: latin americans head to u.s. for covid shots.


via",2021-05-31 02:22:35
vaccine tourism packages let wealthy asian people travel to us for covid jab: wealthy asians are escaping covid-19…,2021-05-31 02:18:27
"frustrated with the lagging pace of vaccinations at home, well-off latin americans have been flying north for a sho…",2021-05-31 02:05:28
"crocodile tears.

‘like a dream’: latin americans head to u.s. for covid shots",2021-05-31 01:17:10
[] 'like a dream': latin americans head to u.s. for covid shots.,2021-05-30 23:19:01
"read: ""‘like a dream’: latin americans head to u.s. for covid shots"" those who can afford to and can get visas. thi…",2021-05-30 22:45:59
"for the european union the 💉 is only good if it is produced by the pharmaceutical lobbies

eu agrees to open up to…",2021-05-30 22:08:53
covid vaccine tourism?,2021-05-30 20:45:53
doesn’t care about floridians. last year cruise ships full of passengers were stranded off…,2021-05-30 19:11:36
"“‘like a dream’: latin americans head to u.s. for covid shots” ,",2021-05-30 18:38:22
‘like a dream’: latin americans head to u.s. for covid shots - the new york times,2021-05-30 18:16:13
is willing to destroy f…,2021-05-30 18:07:08
"noticias: ‘like a dream’: latin americans head to u.s. for covid shots , see more",2021-05-30 17:23:40
"eu agrees to open up to foreign tourists fully vaccinated against covid-19, but not to those who've had russia’s sp…",2021-05-30 17:09:29
"top story: ‘like a dream’: latin americans head to u.s. for covid shots , see more",2021-05-30 17:03:50
"early in the pandemic, trump wanted prevent a cruise ship filled with passengers infected with covid-19 from dockin…",2021-05-30 16:52:28
‘like a dream’: latin americans head to u.s. for covid shots. don’t blame,2021-05-30 16:37:27
"i think desantis has frequently gotten a bad rap and, relative to numerous factors like “the average age of the sta…",2021-05-30 16:31:29
