text,date
wealthy asians flying to the us on organised ‘vaccine tourism’ trips amid slow rollout at h…,2021-05-31 05:57:10
wealthy asians flying to the us on organised ‘vaccine tourism’ trips amid slow rollout at home,2021-05-31 05:57:05
wealthy asians flying to the us on organised 'vaccine tourism' trips amid slow rollout at home,2021-05-31 05:52:34
"""we're setting up mobile vaccination opportunities for tourists in some of the best trafficked parts o…",2021-05-31 05:24:42
the tourism authority of kiribati (tak) welcomes the commencement of the kiribati covid-19 vaccination program now…,2021-05-31 05:09:50
i’m in canada. it’s a race to protect against variants. to do that you need few gaps in your vaccine timeline…,2021-05-31 04:48:36
‘like a dream’: latin americans head to u.s. for covid shots,2021-05-31 04:28:08
"i love this. i know it's not equitable, but the entire world needs to get vaccinated as soon as possible. we've com…",2021-05-31 04:15:47
"tourism agency warns against 

 tourism dept has ordered to suspend “vaccine tours” to  due…",2021-05-31 04:15:31
nytimes: ‘like a dream’:  americans head to u.s. for  shots ‘like a dream’: latin americans head to u.s…,2021-05-31 04:13:04
vaccine tourism packages let rich asians flock to us for covid jabs - traveller,2021-05-31 04:02:33
"‘like a dream’: latin americans head to u.s. for covid shots

frustrated with the lagging pace of vaccinations at h…",2021-05-31 03:14:31
saw it too. its prolly bc everyone’s still skeptical with sinovac and only prefer a…,2021-05-31 03:04:53
"a few weeks ago i saw vaccine tourism to the us is it become a new business to them,…",2021-05-31 03:01:15
"el sueño americano 

‘like a dream’: latin americans head to u.s. for covid shots - the new york times",2021-05-31 02:52:20
"the new york times: ‘like a dream’: latin americans head to u.s. for covid shots.


via",2021-05-31 02:22:35
vaccine tourism packages let wealthy asian people travel to us for covid jab: wealthy asians are escaping covid-19…,2021-05-31 02:18:27
"""no business will be able to deny you services based on your vaccine status. except cruise ships. and theme parks.…",2021-05-31 02:17:06
"frustrated with the lagging pace of vaccinations at home, well-off latin americans have been flying north for a sho…",2021-05-31 02:05:28
do people really think that the bahamas or other tourism heavy island countries in the…,2021-05-31 01:43:38
pattaya: city faces permanent tourism destruction if enough vaccine can't be found …,2021-05-31 01:32:41
"vaccine tourism is as if “someone loans you their broom to take your mother to the hospital, and then you decide to t…",2021-05-31 01:20:25
vaccine tourism is both highly inequitable and inefficient. just send the vaccines.,2021-05-31 01:19:51
"crocodile tears.

‘like a dream’: latin americans head to u.s. for covid shots",2021-05-31 01:17:10
"biden should be donating more vaccines worldwide.

also my aunt right now is on a plane headed here from taiwan for vaccine tourism.",2021-05-31 00:40:31
tl;dr: centering on the symptom (vaccine tourism) instead of the root cause (constrained supply) is a missed opport…,2021-05-31 00:36:00
tourism secretary bernadette romulo-puyat said the dot has tapped the international air transport association (iata…,2021-05-31 00:30:00
we’re kidding ourselves to think that the privileged don’t get first dibs when the doses are distributed via covax.…,2021-05-31 00:25:14
"looks like this story is making the rounds, so let’s put it into perspective:
🔸&lt;2 million tourist visas issued to l…",2021-05-31 00:25:13
"also, folks are kidding themselves if they think that the privileged don’t get first dibs through cova…",2021-05-31 00:16:38
"“[a]s success stories of latin americans getting their jabs are shared on social media posts and by word of mouth,…",2021-05-31 00:06:51
[] 'like a dream': latin americans head to u.s. for covid shots.,2021-05-30 23:19:01
"i'm thinking how many vaccines canada lost without using it and the us making much money with ""tourism vaccine"" whi…",2021-05-30 23:05:43
"read: ""‘like a dream’: latin americans head to u.s. for covid shots"" those who can afford to and can get visas. thi…",2021-05-30 22:45:59
scottish hospitality and tourism is on its knees but according to ruth wishart we don’t need the “wrong sort” of to…,2021-05-30 22:36:56
"it is baffling that the governor of florida wants to destroy an industry that brings so much money into his state,…",2021-05-30 22:33:43
i read an article recently on vaccine tourism,2021-05-30 22:22:14
desantis stands by no cruise ship exemption for ‘vaccine passports’,2021-05-30 22:22:00
"for the european union the 💉 is only good if it is produced by the pharmaceutical lobbies

eu agrees to open up to…",2021-05-30 22:08:53
best governor in the country.,2021-05-30 21:38:33
"is wrong.
 supersedes florida state law or governor's executive order,…",2021-05-30 21:37:33
"if you can get a visa and afford the flight to miami, you can get vaccinated.",2021-05-30 21:13:21
somoene finally explained tourism to the governor of florida.,2021-05-30 21:08:17
"“millionaires and billionaires traveling across continents or oceans to get a vaccine, usually twice, means greater…",2021-05-30 20:46:42
covid vaccine tourism?,2021-05-30 20:45:53
good. liberty. constitutional-conservatism.,2021-05-30 20:19:29
"british pm boris johnson is pressuring canada for answers on travel + vaccine passports. the mayor of windsor, onta…",2021-05-30 20:16:05
the access has proved a bonanza for the privileged in countries where the virus continues to take a brutal toll — e…,2021-05-30 19:58:19
"i am on team  , but if i were to go, i would want to make sure everyone on cruise was vaccinated, assum…",2021-05-30 19:44:03
can imagine british families with kids doing this soon...,2021-05-30 19:18:26
vaccination should not be tied to or packaged with a financial outflow for other than…,2021-05-30 19:14:49
doesn’t care about floridians. last year cruise ships full of passengers were stranded off…,2021-05-30 19:11:36
what would ron desantis do if celebrity cruises and other cruise lines decided that the cost of using florida ports…,2021-05-30 18:55:26
"""equal weitage for all the state""-ns

equal vaccine?
equal flood relief?
equal gst? (unlike…",2021-05-30 18:53:44
"brazil is a huuuge country of course, here.... we are like 7 million- 2.5 millions got vaccinated…",2021-05-30 18:52:18
"last two rts: definitely fearful of this: 

uhnwi families (&gt; rs 75cr)- they will move out &amp; stay there - dubai, s’…",2021-05-30 18:50:02
"“‘like a dream’: latin americans head to u.s. for covid shots” ,",2021-05-30 18:38:22
“the early wave of argentine vaccine travelers who returned home with american vaccine certificates drove a sharp r…,2021-05-30 18:33:07
"(1) india as a vaccine capital is a sad joke, others will build vaccine supplies els…",2021-05-30 18:26:32
‘like a dream’: latin americans head to u.s. for covid shots - the new york times,2021-05-30 18:16:13
is willing to destroy f…,2021-05-30 18:07:08
"tourism isn't allowed in the current time. i checked it right now on both sides.

but when i get m…",2021-05-30 18:04:05
and  could do same to rapidly kickstart vaccine tourism to usa ? us airlines to book flights ?…,2021-05-30 17:55:18
(1) aren’t republicans pro freedom of contract and against government regulation of the market (2) how is this not…,2021-05-30 17:35:10
"noticias: ‘like a dream’: latin americans head to u.s. for covid shots , see more",2021-05-30 17:23:40
efficiencies of the free market,2021-05-30 17:15:39
"eu agrees to open up to foreign tourists fully vaccinated against covid-19, but not to those who've had russia’s sp…",2021-05-30 17:09:29
"top story: ‘like a dream’: latin americans head to u.s. for covid shots , see more",2021-05-30 17:03:50
republicans: businesses should be able to serve - or not serve - whoever the hell the want. that's how free enterpr…,2021-05-30 16:55:41
"""the access [to 💉]has proved a bonanza for the privileged in countries where the virus continues to take a brutal t…",2021-05-30 16:55:20
"early in the pandemic, trump wanted prevent a cruise ship filled with passengers infected with covid-19 from dockin…",2021-05-30 16:52:28
the us worried about vaccine tourists. now it’s encouraging them. the us has more vaccins than its domestic demand…,2021-05-30 16:46:07
"the fearmongers will screw  and other countries that depend on tourism, by pushing vaccine passports for inte…",2021-05-30 16:44:01
‘like a dream’: latin americans head to u.s. for covid shots. don’t blame,2021-05-30 16:37:27
"vaccine tourism is as if “someone loans you their car to take your mother to the hospital, and then you decide to t…",2021-05-30 16:37:06
"i think desantis has frequently gotten a bad rap and, relative to numerous factors like “the average age of the sta…",2021-05-30 16:31:29
russia is doing it. aetoflot is offering vaccine tourism. i see nothing wrong if hotels have a ti…,2021-05-30 16:24:20
"florida gov. ron de santis says he will fine cruise companies $5,000 for each person who is required to show proof…",2021-05-30 16:24:16
signed disney exemption for internet speech law,2021-05-30 16:16:55
"sadly, if the cruise ships docked in galveston, they would be allowed to require vaccines.",2021-05-30 16:14:21
"the us has so much excess vaccine, friends in other countries tell me that travel agents are booking vaccine trip p…",2021-05-30 16:11:57
care to exercise some intellectual &amp; journalistic honesty &amp; take a similar stance on…,2021-05-30 16:04:35
"frustrated with the lagging pace of vaccinations at home, a growing number of rich latin americans have been flying…",2021-05-30 15:55:46
"‘like a dream’: unable to get vaccines at home, like americans who can head to the united states for their jab.",2021-05-30 15:55:40
good we can share with our latin american neighbors vaccines that us citizens don't want; but imperative they hold…,2021-05-30 15:51:58
desantis stands by no cruise ship exemption for 'vaccine passports' (orlando sentinel),2021-05-30 15:50:43
ron desantis' incessant need to please dear(cult)leader trumpand his ban on vaccine passports just cost florida mil…,2021-05-30 15:49:38
it is not conservative to tell cruise lines what rules they can have. and it is not conservative to create some odd…,2021-05-30 15:37:02
desantis is a complete dunce.,2021-05-30 15:25:17
this is fundamentally a progressive policy. nothing conservative about it. government dictating to private companie…,2021-05-30 15:22:33
"latin america is flocking to the us, now with affluents getting for vaccination",2021-05-30 15:21:38
"we’re considering another cruise on  with friends, but there’s no way we’re going to embark from fl…",2021-05-30 15:20:13
they don’t care it’s a tale of two cities,2021-05-30 15:19:32
this is so stupid.,2021-05-30 15:16:17
"“frustrated with the lagging pace of vaccinations at home, well-off latin americans have been flying north for a sh…",2021-05-30 15:05:09
“where tens of millions of americans have opted not to get inoculated — wealthy and middle-class latin americans wi…,2021-05-30 14:54:30
it’s not just “well off” americans anyone with a us visa is doing the investment of getting vaccinated abroad becau…,2021-05-30 14:46:07
trump did all he could to discredit the pandemic and the vaccines and lots of dumb americans listened to him.  alth…,2021-05-30 14:44:56
this story is so representative of latin america: access to most social goods is determined by wealth. vaccine tour…,2021-05-30 14:24:55
this is why jnj one dose is still useful - also for vaccine tourism,2021-05-30 14:12:23
"while some americans still are refusing to  for political reasons, thousands are coming here to take adva…",2021-05-30 14:10:19
cesar wildin'.,2021-05-30 14:08:32
bring vaccine's not tourism,2021-05-30 13:55:07
it me:,2021-05-30 13:42:57
"once again money buys happiness or at least life in this case! us should be ashamed, but hey it's good for…",2021-05-30 13:19:35
"desantis, in continuing efforts to kill florida citizens and the tourism industry, threatens ban on cruise ship’s c…",2021-05-30 13:18:42
"despite the ethical conundrums around vaccine tourism, the chance to skip the line has a powerful pull.",2021-05-30 13:08:01
well this are seeds of vaccine tourism,2021-05-30 12:54:56
via  so much for idiot american vaccination resistors—bravo latin americans!,2021-05-30 12:31:31
the latest boon for south america-us flights: vaccine seekers.,2021-05-30 12:16:59
"some states in the us are actively encouraging vaccine tourism. 

officials are not screening visa applicants who f…",2021-05-30 11:38:43
salam yb  just wanted to asked when the hotelier in the tourism sector can get the vaccine? please speed i…,2021-05-30 11:34:30
"abela also spoke of the vaccine certificate, saying it will be key for the reopening of tourism and domestic activi…",2021-05-30 11:08:11
"so when covid first popped off and i heard folks with resources we’re starting to 

1. stockpile food and medical s…",2021-05-30 11:04:51
…,2021-05-30 11:01:45
even vaccination is not managed properly. large number of people who got 1st doze r unable to get second doze. sinc…,2021-05-30 10:51:36
"just make everyone a priority! everyone has to work, and in a state which is heavily dependent on touri…",2021-05-30 10:25:03
"couple of issues: shortage of vaccines, lockdown prohibiting vaccine tourism, majority of population wan…",2021-05-30 10:25:00
"what’s wrong with that is that they didn’t come up with the idea.. if they had suggested it, every hotel…",2021-05-30 10:22:43
"vaccine tourism...
even uae is in the loop..
😅🙄",2021-05-30 10:01:12
